time,side,price,qty
07:29.7,SELL,82635.3,0.0002
07:29.8,SELL,82635.3,0.00022
07:30.1,SELL,82635.3,0.00025
07:30.9,SELL,82635.3,0.01875
07:31.1,SELL,82635.3,0.00071
07:31.5,SELL,82635.3,0.0008
07:31.7,SELL,82635.3,0.00056
07:31.8,SELL,82635.3,0.00081
07:32.9,SELL,82635.3,0.00363
07:33.0,BUY,82635.31,0.00031
07:34.0,SELL,82635.3,0.00505
07:34.0,SELL,82635.3,0.00013
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00038
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.3,0.00296
07:34.0,SELL,82635.3,0.00223
07:34.0,SELL,82635.3,0.01311
07:34.0,SELL,82635.3,0.17914
07:34.0,SELL,82635.3,0.00368
07:34.0,SELL,82635.3,0.0001
07:34.0,SELL,82635.3,0.0001
07:34.0,SELL,82635.3,0.0001
07:34.0,SELL,82635.3,0.00007
07:34.0,SELL,82635.29,0.00014
07:34.0,SELL,82635.29,0.00007
07:34.0,SELL,82635.29,0.00007
07:34.0,SELL,82635.29,0.00014
07:34.0,SELL,82635.29,0.00014
07:34.0,SELL,82635.28,0.00299
07:34.0,SELL,82635.28,0.00007
07:34.0,SELL,82635.28,0.00007
07:34.0,SELL,82635.27,0.00178
07:34.0,SELL,82635.27,0.00007
07:34.0,SELL,82635.27,0.00007
07:34.0,SELL,82635.25,0.00007
07:34.0,SELL,82635.25,0.00007
07:34.0,SELL,82635.04,0.00007
07:34.0,SELL,82634.51,0.00007
07:34.0,SELL,82634.36,0.00007
07:34.0,SELL,82633.5,0.00008
07:34.0,SELL,82633.5,0.00007
07:34.0,SELL,82633.5,0.00007
07:34.0,SELL,82632.96,0.001
07:34.0,SELL,82632.59,0.00007
07:34.0,SELL,82632.59,0.00007
07:34.0,SELL,82632.09,0.00007
07:34.0,SELL,82632.09,0.00007
07:34.0,SELL,82632.08,0.0176
07:34.0,SELL,82632.08,0.00041
07:34.0,SELL,82632.08,0.11804
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.0001
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.08,0.00007
07:34.0,SELL,82632.07,0.00015
07:34.0,SELL,82631.73,0.00007
07:34.0,SELL,82631.73,0.00007
07:34.0,SELL,82631.73,0.00007
07:34.0,SELL,82631.73,0.00007
07:34.0,SELL,82631.51,0.00007
07:34.0,SELL,82631.51,0.00007
07:34.0,SELL,82631.51,0.00007
07:34.0,SELL,82631.51,0.00007
07:34.0,SELL,82631.51,0.00018
07:34.0,SELL,82631.51,0.00018
07:34.0,SELL,82631.51,0.00018
07:34.0,SELL,82631.5,0.00007
07:34.0,SELL,82631.5,0.00007
07:34.0,SELL,82631.5,0.0001
07:34.0,SELL,82631.01,0.00007
07:34.0,SELL,82631.01,0.00007
07:34.0,SELL,82630.77,0.00007
07:34.0,SELL,82630.77,0.00007
07:34.0,SELL,82630.76,0.00758
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.00007
07:34.0,SELL,82630.76,0.0001
07:34.0,SELL,82630.75,0.00007
07:34.0,SELL,82630.75,0.00007
07:34.0,SELL,82630.75,0.00007
07:34.0,SELL,82630.74,0.00007
07:34.0,SELL,82630.74,0.00007
